Payer,Service,Age Group,Sex,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Total,Durable Medical Equipment,45-64,Total,8539,10694,13015,13512,12871,13470,14432,15533,16114,15538
Total,Durable Medical Equipment,65-84,Total,9547,10274,10997,12436,11655,12850,13667,14316,16373,18429
Total,Durable Medical Equipment,85+,Total,2185,2509,2808,3317,3177,3746,3775,3837,4302,4421
Total,Durable Medical Equipment,Total,Males,12744,13744,16775,17965,17066,18925,20415,22339,23579,23993
Total,Durable Medical Equipment,0-18,Males,1401,1410,1898,2012,1918,2144,2433,2782,2875,2652
Total,Durable Medical Equipment,19-44,Males,2651,2766,3582,3679,3397,3712,4201,4591,5097,5149
Total,Durable Medical Equipment,45-64,Males,3794,4230,5535,5762,5505,5850,6065,7003,7257,6530
Total,Durable Medical Equipment,65-84,Males,4252,4564,4822,5333,5157,5778,6243,6362,6750,8023
Total,Durable Medical Equipment,85+,Males,646,774,938,1179,1089,1442,1472,1602,1601,1638
Total,Durable Medical Equipment,Total,Females,16897,19466,22862,24677,22890,24334,26142,27698,30539,31127
Total,Durable Medical Equipment,0-18,Females,1421,1531,2076,2243,2030,2253,2440,2408,2536,2278
Total,Durable Medical Equipment,19-44,Females,3898,4027,5261,5443,4909,5085,5609,6571,6822,6652
Total,Durable Medical Equipment,45-64,Females,4745,6464,7480,7750,7365,7620,8367,8530,8857,9008
Total,Durable Medical Equipment,65-84,Females,5294,5710,6175,7103,6498,7073,7424,7954,9622,10406
Total,Durable Medical Equipment,85+,Females,1539,1735,1870,2138,2088,2304,2303,2235,2701,2783
Medicaid,Home Health Care,Total,Total,9664,13389,16822,21375,25414,27046,29111,32657,35055,40139
Medicaid,Home Health Care,0-18,Total,2101,2481,3399,4632,5560,6214,6711,7811,7537,9262
Medicaid,Home Health Care,19-44,Total,1878,2494,3035,4067,5363,5965,6308,6996,7440,8125
Medicaid,Home Health Care,45-64,Total,1870,2713,3304,4335,5370,5711,5960,6612,6793,7579
Medicaid,Home Health Care,65-84,Total,2476,3791,4627,5357,5712,5672,6167,6840,8408,9928
Medicaid,Home Health Care,85+,Total,1340,1910,2457,2983,3409,3484,3965,4398,4878,5245
Medicaid,Home Health Care,Total,Males,3504,4751,5922,7768,9648,10266,11031,12424,13462,15759
Medicaid,Home Health Care,0-18,Males,1136,1345,1820,2505,3033,3369,3632,4217,4095,5045
Medicaid,Home Health Care,19-44,Males,816,1069,1178,1551,2148,2277,2410,2674,3058,3453
Medicaid,Home Health Care,45-64,Males,732,1034,1252,1685,2200,2375,2484,2756,2859,3198
Medicaid,Home Health Care,65-84,Males,615,986,1245,1487,1634,1624,1792,1988,2534,3085
Medicaid,Home Health Care,85+,Males,204,318,427,539,633,621,712,790,916,978
Medicaid,Home Health Care,Total,Females,6161,8638,10900,13607,15766,16780,18080,20233,21593,24381
Medicaid,Home Health Care,0-18,Females,964,1136,1579,2127,2527,2845,3079,3594,3441,4217
Medicaid,Home Health Care,19-44,Females,1061,1425,1857,2516,3216,3688,3897,4323,4382,4672
Medicaid,Home Health Care,45-64,Females,1138,1679,2053,2650,3170,3336,3476,3856,3935,4381
Medicaid,Home Health Care,65-84,Females,1861,2805,3382,3870,4078,4048,4374,4852,5873,6843
Medicaid,Home Health Care,85+,Females,1136,1593,2030,2444,2776,2862,3253,3608,3962,4267
Medicare,Home Health Care,Total,Total,11338,15536,21060,27052,31721,33508,34283,37155,40462,43786
Medicare,Home Health Care,0-18,Total,0,0,0,1,1,1,0,0,0,0
Medicare,Home Health Care,19-44,Total,161,200,278,468,560,596,587,567,576,693
Medicare,Home Health Care,45-64,Total,798,1152,1726,2959,3676,4043,4130,4223,4326,4681
Medicare,Home Health Care,65-84,Total,7100,9308,12134,16468,18604,19489,19825,21615,24033,26808
Medicare,Home Health Care,85+,Total,3280,4876,6922,7157,8880,9379,9741,10750,11528,11603
Medicare,Home Health Care,Total,Males,4001,5412,7331,9606,11368,12370,12963,14252,15784,18058
Medicare,Home Health Care,0-18,Males,0,0,0,0,0,0,0,0,0,0
Medicare,Home Health Care,19-44,Males,90,108,147,240,282,295,289,280,288,362
Medicare,Home Health Care,45-64,Males,373,531,799,1314,1622,1820,1885,1933,2003,2285
Medicare,Home Health Care,65-84,Males,2651,3481,4542,5969,6842,7402,7741,8599,9741,11436
Medicare,Home Health Care,85+,Males,888,1291,1843,2083,2621,2853,3047,3439,3751,3975
Medicare,Home Health Care,Total,Females,7337,10124,13728,17446,20353,21138,21320,22903,24679,25728
Medicare,Home Health Care,0-18,Females,0,0,0,0,0,0,0,0,0,0
Medicare,Home Health Care,19-44,Females,71,92,131,228,279,300,298,287,288,332
Medicare,Home Health Care,45-64,Females,425,621,927,1644,2054,2224,2245,2290,2323,2396
Medicare,Home Health Care,65-84,Females,4449,5827,7592,10499,11762,12087,12083,13016,14291,15372
Medicare,Home Health Care,85+,Females,2391,3585,5079,5074,6259,6526,6694,7311,7777,7628
Other Payers and Programs,Home Health Care,Total,Total,2893,3003,2759,2681,2554,2957,3023,3348,3809,13302
Other Payers and Programs,Home Health Care,0-18,Total,226,131,120,129,140,184,193,332,422,1297
Other Payers and Programs,Home Health Care,19-44,Total,304,337,288,290,393,529,591,359,517,1591
Other Payers and Programs,Home Health Care,45-64,Total,873,1061,1017,902,702,755,621,932,767,2518
Other Payers and Programs,Home Health Care,65-84,Total,727,930,670,673,530,591,679,702,835,4529
Other Payers and Programs,Home Health Care,85+,Total,763,544,665,687,789,897,938,1023,1268,3367
Other Payers and Programs,Home Health Care,Total,Males,1373,1153,1094,1035,1032,1369,1384,1913,1993,5879
Other Payers and Programs,Home Health Care,0-18,Males,153,65,76,74,75,98,103,236,312,780
Other Payers and Programs,Home Health Care,19-44,Males,159,173,148,144,256,355,406,252,331,852
Other Payers and Programs,Home Health Care,45-64,Males,444,452,433,413,262,421,294,633,376,1159
Other Payers and Programs,Home Health Care,65-84,Males,370,290,221,180,187,210,273,361,483,1990
Other Payers and Programs,Home Health Care,85+,Males,247,173,216,224,251,285,309,430,490,1097
Other Payers and Programs,Home Health Care,Total,Females,1520,1850,1666,1646,1521,1587,1639,1434,1816,7423
Other Payers and Programs,Home Health Care,0-18,Females,73,65,44,55,65,86,91,96,110,517
Other Payers and Programs,Home Health Care,19-44,Females,145,164,140,147,137,174,185,107,186,739
Other Payers and Programs,Home Health Care,45-64,Females,429,610,584,488,440,334,327,299,391,1359
Other Payers and Programs,Home Health Care,65-84,Females,357,640,448,493,342,380,406,340,351,2539
Other Payers and Programs,Home Health Care,85+,Females,517,370,450,463,538,612,629,593,777,2270
Out-of-Pocket,Home Health Care,Total,Total,6020,6174,5844,5860,5765,7508,8524,9041,11874,12226
Out-of-Pocket,Home Health Care,0-18,Total,433,484,448,432,364,444,491,410,608,494
Out-of-Pocket,Home Health Care,19-44,Total,575,643,572,566,486,681,748,824,1028,1056
Out-of-Pocket,Home Health Care,45-64,Total,1014,1134,1118,1069,956,1057,1167,1194,1754,2056
Out-of-Pocket,Home Health Care,65-84,Total,1999,1884,1785,1745,1782,2400,2800,3029,3688,3933
Out-of-Pocket,Home Health Care,85+,Total,1999,2028,1922,2048,2178,2928,3317,3584,4796,4687
Out-of-Pocket,Home Health Care,Total,Males,2479,2562,2542,2473,2344,3040,3475,3767,5019,5356
Out-of-Pocket,Home Health Care,0-18,Males,241,269,257,239,194,246,266,290,445,360
Out-of-Pocket,Home Health Care,19-44,Males,248,278,281,247,210,289,317,379,573,646
Out-of-Pocket,Home Health Care,45-64,Males,430,481,551,507,435,481,525,742,1016,1135
Out-of-Pocket,Home Health Care,65-84,Males,1040,980,928,910,911,1226,1439,1570,1917,2134
Out-of-Pocket,Home Health Care,85+,Males,520,553,524,569,594,799,927,785,1068,1080
Out-of-Pocket,Home Health Care,Total,Females,3542,3612,3303,3388,3422,4468,5048,5274,6855,6870
Out-of-Pocket,Home Health Care,0-18,Females,193,215,191,193,170,198,225,120,162,134
Out-of-Pocket,Home Health Care,19-44,Females,327,366,291,319,276,392,430,445,455,410
Out-of-Pocket,Home Health Care,45-64,Females,583,652,567,562,521,576,642,452,738,921
Out-of-Pocket,Home Health Care,65-84,Females,960,904,857,834,871,1173,1362,1459,1771,1798
Out-of-Pocket,Home Health Care,85+,Females,1479,1475,1397,1479,1584,2129,2390,2799,3728,3607
Private health Insurance,Home Health Care,Total,Total,6549,6538,5567,5197,5072,7058,9730,11507,14351,15550
Private health Insurance,Home Health Care,0-18,Total,847,842,701,604,555,786,1071,1342,1527,1838
Private health Insurance,Home Health Care,19-44,Total,1244,1236,1050,922,886,1295,1790,2115,2674,2900
Private health Insurance,Home Health Care,45-64,Total,2507,2491,2115,1859,1833,2386,3279,3793,4589,4959
